항공사,편명,예정시각,변경시각,출발지,도착지,구분,"
										
										탑승구
										
										",현황
대한항공,KE1228,17 : 00,17 : 00,제주,서울/김포,국내선,5,탑승중
아시아나항공,OZ8148,17 : 00,17 : 20,제주,광주,국내선,12,지연
에어부산,BX8132,17 : 00,17 : 15,제주,부산/김해,국내선,12,지연
아시아나항공,OZ8128,17 : 05,17 : 05,제주,대구,국내선,8,탑승최종
아시아나항공,OZ8970,17 : 10,17 : 20,제주,서울/김포,국내선,11,지연
티웨이항공,TW726,17 : 10,17 : 20,제주,서울/김포,국내선,4,지연
제주항공,7C122,17 : 20,17 : 30,제주,서울/김포,국내선,2,지연
아시아나항공,OZ8972,17 : 25,17 : 25,제주,서울/김포,국내선,13,지연
제주항공,7C856,17 : 30,17 : 30,제주,청주,국내선,3,지연
이스타항공,ZE304,17 : 30,17 : 30,제주,군산,국내선,3A,수속중
에어부산,BX8116,17 : 45,17 : 45,제주,부산/김해,국내선,10,수속중
티웨이항공,TW806,17 : 45,17 : 45,제주,대구,국내선,4,수속중
대한항공,KE1908,17 : 50,17 : 50,제주,광주,국내선,5,수속중
이스타항공,ZE218,17 : 55,17 : 55,제주,서울/김포,국내선,3,수속중
진에어,LJ324,17 : 55,17 : 55,제주,서울/김포,국내선,7,수속중
진에어,LJ594,17 : 55,17 : 55,제주,광주,국내선,9,수속중
제주항공,7C706,17 : 55,17 : 55,제주,대구,국내선,1,수속중
아시아나항공,OZ8234,18 : 00,18 : 00,제주,청주,국내선,8,수속중
대한항공,KE1230,18 : 05,18 : 05,제주,서울/김포,국내선,3A,수속중
제주항공,7C124,18 : 05,18 : 05,제주,서울/김포,국내선,1A,수속중
아시아나항공,OZ8182,18 : 05,18 : 05,제주,사천,국내선,11,수속중
티웨이항공,TW908,18 : 10,18 : 10,제주,광주,국내선,4,수속중
대한항공,KE1008,18 : 10,18 : 10,제주,부산/김해,국내선,5,수속중
진에어,LJ328,18 : 30,18 : 30,제주,서울/김포,국내선,12,수속중
이스타항공,ZE220,18 : 30,18 : 30,제주,서울/김포,국내선,3A,수속중
대한항공,KE1232,18 : 30,18 : 30,제주,서울/김포,국내선,2,수속중
칭다오항공,QW6136,18 : 30,18 : 30,제주,허페이,국제선,15,수속중
에어부산,BX8306,18 : 35,18 : 35,제주,울산,국내선,10,수속중
이스타항공,ZE712,18 : 40,18 : 40,제주,청주,국내선,3,수속중
대한항공,KE1234,18 : 40,18 : 40,제주,서울/김포,국내선,6,수속중
제주항공,7C146,18 : 45,18 : 45,제주,서울/김포,국내선,1A,수속중
진에어,LJ568,18 : 45,18 : 45,제주,부산/김해,국내선,9,수속중
대한항공,KE1236,19 : 00,19 : 00,제주,서울/김포,국내선,13,수속중
제주항공,7C166,19 : 00,19 : 00,제주,서울/김포,국내선,1A,수속중
제주항공,7C514,19 : 00,19 : 00,제주,부산/김해,국내선,1A,수속중
