시간,공시대상회사,보고서명,제출인,접수일자,비고
16:52, 고려개발,[기재정정]특수관계인으로부터자금차입  ,고려개발,2020.01.02, 
16:52, 코스맥스비티아이,주요사항보고서(자기주식취득결정)(자회사의 주요경영사항)  ,코스맥스비티아이,2020.01.02, 
16:51, 코스맥스비티아이,주요사항보고서(자기주식취득결정)  ,코스맥스비티아이,2020.01.02, 
16:51, 행복도시태양광발전소,임원의변동  ,행복도시태양광발전소,2020.01.02, 
16:45, 휴메딕스,[기재정정]현금ㆍ현물배당결정  ,휴메딕스,2020.01.02, 
16:45, 휴온스글로벌,[기재정정]현금ㆍ현물배당결정(자회사의 주요경영사항)  ,휴온스글로벌,2020.01.02, 
16:44, 인콘,신주인수권행사가액의조정  (제6회차),인콘,2020.01.02, 
16:44, 알이피,전환가액의조정  (제18회차),알이피,2020.01.02, 
16:42, 금호에이치티,[기재정정]주요사항보고서(전환사채권발행결정)  ,금호에이치티,2020.01.02, 
16:42, 코스맥스,주요사항보고서(자기주식취득결정)  ,코스맥스,2020.01.02,
16:41, 동원산업,합병등종료보고서  (영업양수도),동원산업,2020.01.02,
16:41, TCC스틸,대표이사(대표집행임원)변경(안내공시)  ,TCC스틸,2020.01.02, 
16:39, 유안타증권,최대주주등소유주식변동신고서  ,유안타증권,2020.01.02, 
16:39, 휠라코리아,합병등종료보고서  (분할),휠라코리아,2020.01.02,
16:38, 엘에이티,반기보고서 (2019.06)  ,엘에이티,2020.01.02,
16:37, 파수닷컴,합병등종료보고서  (합병),파수닷컴,2020.01.02,
16:35, 현대엔지니어링,임원의변동  ,현대엔지니어링,2020.01.02, 
16:35, 한솔홈데코,[기재정정]주식매수선택권부여에관한신고  ,한솔홈데코,2020.01.02,
16:33, 유안타증권,투자설명서(일괄신고)  ,유안타증권,2020.01.02,
16:31, 메리츠종금증권,투자설명서(일괄신고)  ,메리츠종금증권,2020.01.02,
16:31, 지스마트글로벌,[기재정정]주식명의개서정지(주주명부폐쇄)  ,지스마트글로벌,2020.01.02, 
16:29, 휴온스글로벌,[기재정정]현금ㆍ현물배당결정  ,휴온스글로벌,2020.01.02, 
16:29, 휴온스,[기재정정]현금ㆍ현물배당결정  ,휴온스,2020.01.02, 
16:29, 팍스넷,[기재정정]주요사항보고서(주권관련사채권양도결정)  ,팍스넷,2020.01.02, 
16:29, 지스마트글로벌,[기재정정]주주총회소집결의  ,지스마트글로벌,2020.01.02,  
16:29, 현진소재,[기재정정]전환청구권행사  ,현진소재,2020.01.02,  
16:28, 신한금융투자,투자설명서(일괄신고)  ,신한금융투자,2020.01.02,
16:27, 해태제과식품,합병등종료보고서  (분할),해태제과식품,2020.01.02,
16:27, 한솔홈데코,[기재정정]주식매수선택권부여에관한신고  ,한솔홈데코,2020.01.02,
16:26, 유안타증권,일괄신고추가서류(기타파생결합사채)  ,유안타증권,2020.01.02,
16:24, 한올바이오파마,최대주주등소유주식변동신고서  ,한올바이오파마,2020.01.02, 
16:24, 신한금융투자,일괄신고추가서류(파생결합증권-주가연계증권)  ,신한금융투자,2020.01.02,
16:24, 와이엠씨,[기재정정]주식매수선택권부여에관한신고  ,와이엠씨,2020.01.02,
16:23, 와이엠씨,[기재정정]주식매수선택권부여에관한신고  ,와이엠씨,2020.01.02,
