발생년,주야,요일,사망자수,사상자수,발생지시도,발생지시군구,사고유형_대분류,사고유형_중분류,사고유형,법규위반_대분류,법규위반,경도,위도
2012,주간,토,1,1,대구,서구,차대차,정면충돌,정면충돌,운전자법규위반,안전운전 의무 불이행,128.5467757,35.87224007
2012,야간,토,1,1,충남,공주시,차대차,기타,기타,운전자법규위반,안전운전 의무 불이행,127.0630992,36.47391203
2012,주간,금,1,1,충북,충주시,차대차,기타,기타,운전자법규위반,안전운전 의무 불이행,127.9269773,36.97357396
2012,야간,금,1,1,경기,화성시,차량단독,공작물충돌,공작물충돌,운전자법규위반,안전운전 의무 불이행,127.019952,37.16223758
2012,야간,금,1,1,경북,칠곡군,차대사람,기타,기타,운전자법규위반,안전운전 의무 불이행,128.5396983,36.03475271
2012,주간,수,1,4,서울,강남구,차대사람,보도통행중,보도통행중,운전자법규위반,기타(운전자법규위반),127.0596696,37.50757711
2012,야간,수,1,1,경남,양산시,차대사람,횡단중,횡단중,운전자법규위반,안전운전 의무 불이행,129.1780578,35.41640052
2012,야간,수,1,2,경남,함안군,차량단독,기타,기타,운전자법규위반,과속,128.4074902,35.23864772
2012,주간,토,1,1,경남,김해시,차대사람,횡단중,횡단중,운전자법규위반,보행자 보호의무 위반,128.8654194,35.23465416
2012,야간,화,1,1,경기,부천시,차대차,추돌,주정차중 추돌,운전자법규위반,안전운전 의무 불이행,126.7555606,37.49719175
2012,야간,수,1,2,전남,순천시,차량단독,공작물충돌,공작물충돌,운전자법규위반,안전운전 의무 불이행,127.496387,34.92308028
