발생년,주야,요일,사망자수,사상자수,발생지시도,발생지시군구,사고유형_대분류,사고유형_중분류,사고유형,법규위반_대분류,법규위반,경도,위도
2013,야간,수,1,1,인천,부평구,차대차,기타,기타,운전자법규위반,안전운전 의무 불이행,126.7033674,37.47550743
2013,주간,화,1,1,경남,창원시(통합),차대사람,차도통행중,차도통행중,운전자법규위반,안전운전 의무 불이행,128.6766301,35.23584347
2013,주간,수,1,1,인천,동구,차대차,기타,기타,운전자법규위반,안전운전 의무 불이행,126.6479261,37.49164223
2013,야간,목,1,1,부산,기장군,차대차,추돌,주정차중 추돌,운전자법규위반,안전운전 의무 불이행,129.2020839,35.32550287
2013,주간,수,1,1,제주,서귀포시,차대사람,기타,기타,운전자법규위반,안전운전 의무 불이행,126.6171734,33.26058986
2013,주간,수,1,1,경기,화성시,차대사람,기타,기타,운전자법규위반,안전운전 의무 불이행,126.9117978,37.1358901
2013,야간,화,1,1,인천,연수구,차대사람,기타,기타,운전자법규위반,안전운전 의무 불이행,126.6751519,37.42284624
2013,주간,수,1,1,경기,남양주시,차량단독,기타,기타,운전자법규위반,안전운전 의무 불이행,127.2247696,37.63743934
2013,주간,토,1,1,전북,전주시,차대사람,보도통행중,보도통행중,운전자법규위반,신호위반,127.1602215,35.82760635
2013,야간,토,1,1,전북,전주시,차대차,기타,기타,운전자법규위반,안전운전 의무 불이행,127.1228317,35.83039803
2013,야간,화,1,21,경기,평택시,차대차,추돌,진행중 추돌,운전자법규위반,안전운전 의무 불이행,126.9534403,36.99676436
2013,주간,화,1,2,경북,안동시,차대차,정면충돌,정면충돌,운전자법규위반,중앙선 침범,128.9656075,36.56693321
2013,야간,금,1,1,경기,여주시,차량단독,기타,기타,운전자법규위반,안전운전 의무 불이행,127.7414434,37.27531532
2013,야간,금,1,2,전남,영암군,차대사람,길가장자리구역통행중,길가장자리구역통행중,운전자법규위반,안전운전 의무 불이행,126.6993385,34.88905337
2013,주간,토,1,1,전남,무안군,차량단독,도로이탈,도로이탈 추락,운전자법규위반,안전운전 의무 불이행,126.3185277,34.93663262
2013,야간,금,1,1,강원,홍천군,차대사람,횡단중,횡단중,운전자법규위반,안전운전 의무 불이행,127.6794928,37.61038514
2013,야간,금,1,1,경남,거제시,차량단독,기타,기타,운전자법규위반,안전운전 의무 불이행,128.701056,35.01058569
2013,야간,금,1,1,경기,양주시,차대사람,기타,기타,운전자법규위반,안전운전 의무 불이행,126.9913541,37.79322404
